panel	trait	cohort	cohort_label	ancestry_group	row	column	family	score_id	N	incR2	incR2_pct	label_displayed
B	DBP	AMANHI-Pemba	Pemba	African	4	1	European	PGS004604	3620	0.0092000715424190097	0.92000715424190094	0.9
B	DBP	AMANHI-Pemba	Pemba	African	4	2	South Asian	PGS004758	3620	0.0053515950566166001	0.53515950566166004	0.5
B	DBP	AMANHI-Pemba	Pemba	African	4	3	East Asian	PGS002362	3620	0.00015605800584917199	0.015605800584917199	0.0
B	DBP	AMANHI-Pemba	Pemba	African	4	4	Diverse ancestry	PGS003964	3620	0.0059477188886521998	0.59477188886522003	0.6
B	DBP	AMANHI-Pemba	Pemba	African	4	5	MVP	PGS002239	3620	3.0981120033535398e-05	0.0030981120033535398	0.0
B	DBP	GAPPS-Zambia	Lusaka	African	5	1	European	PGS004604	1380	0.02435487748723	2.4354877487229998	2.4
B	DBP	GAPPS-Zambia	Lusaka	African	5	2	South Asian	PGS004758	1380	0.021386722629179601	2.13867226291796	2.1
B	DBP	GAPPS-Zambia	Lusaka	African	5	3	East Asian	PGS002362	1380	1.6725127566790901e-05	0.0016725127566790902	0.0
B	DBP	GAPPS-Zambia	Lusaka	African	5	4	Diverse ancestry	PGS003964	1380	0.014684130319231299	1.4684130319231299	1.5
B	DBP	GAPPS-Zambia	Lusaka	African	5	5	MVP	PGS002239	1380	0.00459541058685507	0.45954105868550699	0.5
