slot	panel	outcome	bp_trait	exposure_definition	estimate	ci_lo	ci_hi	k_cohorts	status	trunc_lo	trunc_hi	drawn_lo	drawn_hi
1	A	PTB	SBP	mean	1.128233779836201	0.572136256726001	2.2248397073235746	5	ok	FALSE	FALSE	0.572136256726001	2.2248397073235746
1	A	PTB	SBP	ge20	1.1268773998947383	0.5727402967914975	2.2171526632703613	5	ok	FALSE	FALSE	0.5727402967914975	2.2171526632703613
1	A	PTB	SBP	resid	1.1253050976394556	0.5711292242388399	2.217206735412627	5	ok	FALSE	FALSE	0.5711292242388399	2.217206735412627
1	A	PTB	SBP	ge20last_provisional	1.1299029714631297	0.6205030820815439	2.0574929630300107	5	ok	FALSE	FALSE	0.6205030820815439	2.0574929630300107
2	A	PTB	DBP	mean	1.0403472482143503	0.46693571875834006	2.317925901546462	5	ok	FALSE	FALSE	0.46693571875834006	2.317925901546462
2	A	PTB	DBP	ge20	1.0289162537540983	0.4578024627690738	2.3125010093564855	5	ok	FALSE	FALSE	0.4578024627690738	2.3125010093564855
2	A	PTB	DBP	resid	1.039215050815385	0.4639510295515446	2.3277627444541307	5	ok	FALSE	FALSE	0.4639510295515446	2.3277627444541307
2	A	PTB	DBP	ge20last_provisional	1.0289361890773956	0.46146586797139283	2.2942318266076946	5	ok	FALSE	FALSE	0.46146586797139283	2.2942318266076946
3	A	LBW	SBP	mean	1.1297004951184313	0.802835248837481	1.5896452111673243	5	ok	FALSE	FALSE	0.802835248837481	1.5896452111673243
3	A	LBW	SBP	ge20	1.1367448010340133	0.7948516024370681	1.6256981035402354	5	ok	FALSE	FALSE	0.7948516024370681	1.6256981035402354
3	A	LBW	SBP	resid	1.1303054553614829	0.807272084021106	1.5826020095431996	5	ok	FALSE	FALSE	0.807272084021106	1.5826020095431996
3	A	LBW	SBP	ge20last_provisional	1.116243958958561	0.8082285016058544	1.5416439452900093	5	ok	FALSE	FALSE	0.8082285016058544	1.5416439452900093
4	A	LBW	DBP	mean	1.1802402751554095	0.7724343320370758	1.8033469633921657	5	ok	FALSE	FALSE	0.7724343320370758	1.8033469633921657
4	A	LBW	DBP	ge20	1.191167104550799	0.7742879157802566	1.8324954348979057	5	ok	FALSE	FALSE	0.7742879157802566	1.8324954348979057
4	A	LBW	DBP	resid	1.1804628208372328	0.7736800440638267	1.8011224175559024	5	ok	FALSE	FALSE	0.7736800440638267	1.8011224175559024
4	A	LBW	DBP	ge20last_provisional	1.2053975844178373	0.7710770687152165	1.8843555274459736	5	ok	FALSE	FALSE	0.7710770687152165	1.8843555274459736
5	A	SGA	SBP	mean	0.9216055428743652	0.6843995052607158	1.241024825599777	5	ok	FALSE	FALSE	0.6843995052607158	1.241024825599777
5	A	SGA	SBP	ge20	0.9222597128483979	0.6875975551544198	1.2370069840521627	5	ok	FALSE	FALSE	0.6875975551544198	1.2370069840521627
5	A	SGA	SBP	resid	0.9219982302466398	0.6844500328876153	1.2419909353960346	5	ok	FALSE	FALSE	0.6844500328876153	1.2419909353960346
5	A	SGA	SBP	ge20last_provisional	0.9179793297351122	0.7149430647120567	1.1786757455439025	5	ok	FALSE	FALSE	0.7149430647120567	1.1786757455439025
6	A	SGA	DBP	mean	1.0210929462064255	0.711658373210037	1.465072068343105	5	ok	FALSE	FALSE	0.711658373210037	1.465072068343105
6	A	SGA	DBP	ge20	1.020268535624176	0.7061025060095725	1.4742163863253426	5	ok	FALSE	FALSE	0.7061025060095725	1.4742163863253426
6	A	SGA	DBP	resid	1.0227199195305685	0.7134559030879292	1.4660416001571788	5	ok	FALSE	FALSE	0.7134559030879292	1.4660416001571788
6	A	SGA	DBP	ge20last_provisional	1.0064678115360328	0.6895508282575591	1.4690395749619298	5	ok	FALSE	FALSE	0.6895508282575591	1.4690395749619298
7	B	BWT	SBP	mean	-24.859179864840875	-92.81919751387628	43.10083778419453	5	ok	FALSE	FALSE	-92.81919751387628	43.10083778419453
7	B	BWT	SBP	ge20	-25.5251234196931	-96.25565721979973	45.205410380413525	5	ok	FALSE	FALSE	-96.25565721979973	45.205410380413525
7	B	BWT	SBP	resid	-24.942169755791003	-92.74065585096804	42.85631633938604	5	ok	FALSE	FALSE	-92.74065585096804	42.85631633938604
7	B	BWT	SBP	ge20last_provisional	-20.946361017785872	-85.23742532956504	43.34470329399329	5	ok	FALSE	FALSE	-85.23742532956504	43.34470329399329
8	B	BWT	DBP	mean	-46.317949050212945	-191.30163610253157	98.66573800210568	5	ok	FALSE	FALSE	-191.30163610253157	98.66573800210568
8	B	BWT	DBP	ge20	-47.84700199230099	-191.36810405406172	95.67410006945974	5	ok	FALSE	FALSE	-191.36810405406172	95.67410006945974
8	B	BWT	DBP	resid	-43.23109861431469	-181.37771226181428	94.91551503318492	5	ok	FALSE	FALSE	-181.37771226181428	94.91551503318492
8	B	BWT	DBP	ge20last_provisional	-40.84812149624125	-171.18237857989024	89.48613558740774	5	ok	FALSE	FALSE	-171.18237857989024	89.48613558740774
