slot	panel	outcome	bp_trait	exposure_definition	estimate	ci_lo	ci_hi	k_cohorts	trunc_lo	trunc_hi	drawn_lo	drawn_hi
1	A	PTB	SBP	mean	1.163528892477337	0.8137964447298085	1.6635603318210843	5	FALSE	FALSE	0.8137964447298085	1.6635603318210843
1	A	PTB	SBP	ge20	1.1384669812019064	0.7891744394673492	1.6423581434819219	5	FALSE	FALSE	0.7891744394673492	1.6423581434819219
1	A	PTB	SBP	resid	1.170737741544477	0.8198876351405023	1.6717252471331412	5	FALSE	FALSE	0.8198876351405023	1.6717252471331412
1	A	PTB	SBP	ge20last	1.1042158920185883	0.7835114362063167	1.5561900947995075	5	FALSE	FALSE	0.7835114362063167	1.5561900947995075
2	A	PTB	DBP	mean	1.1192313762137172	0.6755693539409475	1.8542565114798704	5	FALSE	FALSE	0.6755693539409475	1.8542565114798704
2	A	PTB	DBP	ge20	1.066434894953194	0.6305918656362127	1.8035173733590895	5	FALSE	FALSE	0.6305918656362127	1.8035173733590895
2	A	PTB	DBP	resid	1.129210623399541	0.6800537458275931	1.8750233195857533	5	FALSE	FALSE	0.6800537458275931	1.8750233195857533
2	A	PTB	DBP	ge20last	1.0972547226891054	0.6375371469190779	1.8884670991827937	5	FALSE	FALSE	0.6375371469190779	1.8884670991827937
3	A	LBW	SBP	mean	1.1350584179220433	0.8359047436323179	1.5412732394570434	5	FALSE	FALSE	0.8359047436323179	1.5412732394570434
3	A	LBW	SBP	ge20	1.1413435668261271	0.8364833605936076	1.5573114767171867	5	FALSE	FALSE	0.8364833605936076	1.5573114767171867
3	A	LBW	SBP	resid	1.1370376207993502	0.8386327268558404	1.5416218682046339	5	FALSE	FALSE	0.8386327268558404	1.5416218682046339
3	A	LBW	SBP	ge20last	1.1094134711042418	0.8319716931604575	1.4793751518060188	5	FALSE	FALSE	0.8319716931604575	1.4793751518060188
4	A	LBW	DBP	mean	1.1785351706147011	0.7730429446555707	1.796724435528827	5	FALSE	FALSE	0.7730429446555707	1.796724435528827
4	A	LBW	DBP	ge20	1.1893338735936843	0.7747256433465526	1.8258270847562643	5	FALSE	FALSE	0.7747256433465526	1.8258270847562643
4	A	LBW	DBP	resid	1.1787510256651177	0.7743610586516919	1.7943231584060637	5	FALSE	FALSE	0.7743610586516919	1.7943231584060637
4	A	LBW	DBP	ge20last	1.2005919179047377	0.7712242430663026	1.869003686408049	5	FALSE	FALSE	0.7712242430663026	1.869003686408049
5	A	SGA	SBP	mean	0.9450885316382114	0.7291343661398452	1.2250037498064652	5	FALSE	FALSE	0.7291343661398452	1.2250037498064652
5	A	SGA	SBP	ge20	0.9387989514267447	0.7217769031714042	1.2210746386140015	5	FALSE	FALSE	0.7217769031714042	1.2210746386140015
5	A	SGA	SBP	resid	0.9479702200984828	0.7327470460748216	1.2264089538230685	5	FALSE	FALSE	0.7327470460748216	1.2264089538230685
5	A	SGA	SBP	ge20last	0.9175012235363459	0.7194003829059514	1.1701529707147	5	FALSE	FALSE	0.7194003829059514	1.1701529707147
6	A	SGA	DBP	mean	1.0158911886508577	0.7093808165980702	1.4548390413596366	5	FALSE	FALSE	0.7093808165980702	1.4548390413596366
6	A	SGA	DBP	ge20	1.0144234623348505	0.7033024591304982	1.4631755478399149	5	FALSE	FALSE	0.7033024591304982	1.4631755478399149
6	A	SGA	DBP	resid	1.0176612893902641	0.7113302721232576	1.4559123103705094	5	FALSE	FALSE	0.7113302721232576	1.4559123103705094
6	A	SGA	DBP	ge20last	0.9980729815153346	0.6860782869272241	1.4519475334111196	5	FALSE	FALSE	0.6860782869272241	1.4519475334111196
7	B	BWT	SBP	mean	-31.36551990564329	-83.82086377489505	21.089823963608467	5	FALSE	FALSE	-83.82086377489505	21.089823963608467
7	B	BWT	SBP	ge20	-32.27971994595262	-85.5408575835576	20.981417691652346	5	FALSE	FALSE	-85.5408575835576	20.981417691652346
7	B	BWT	SBP	resid	-31.795351839832453	-84.02309207034995	20.432388390685045	5	FALSE	FALSE	-84.02309207034995	20.432388390685045
7	B	BWT	SBP	ge20last	-23.463737175870545	-72.29301477265903	25.36554042091794	5	FALSE	FALSE	-72.29301477265903	25.36554042091794
8	B	BWT	DBP	mean	-46.25615602633022	-120.97297572922028	28.460663676559847	5	FALSE	FALSE	-120.97297572922028	28.460663676559847
8	B	BWT	DBP	ge20	-46.49587694456764	-122.77877447418581	29.787020585050527	5	FALSE	FALSE	-122.77877447418581	29.787020585050527
8	B	BWT	DBP	resid	-45.578436860358075	-120.04595126239718	28.88907754168104	5	FALSE	FALSE	-120.04595126239718	28.88907754168104
8	B	BWT	DBP	ge20last	-34.185462420103214	-112.52580792309405	44.15488308288763	5	FALSE	FALSE	-112.52580792309405	44.15488308288763
