cohort	cohort_label	cohort_group	trait	pgs_development_ancestry	score_id	selected_instrument	N	beta_mmHg_per_SD	se	beta_lo95	beta_hi95	first_stage_F	p	incremental_R2	incremental_R2_boot_lo95	incremental_R2_boot_hi95	bootstrap_replicates	covariates
GAPPS-Zambia	ZAPPS-Lusaka	African	SBP	Diverse ancestry	PGS003968	FALSE	1380	0.767005486534327	0.244370219289551	0.287625142336594	1.24638583073206	9.85145513863668	0.00173318030335949	0.00706367319205524	0.000883625186569527	0.0199843396920466	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	DBP	European	PGS004604	FALSE	2588	1.00965961583413	0.132542626713114	0.749758819250876	1.26956041241738	58.0281633999554	3.60409809021427e-14	0.0217319664975521	0.0115636591415898	0.035865260684132	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	DBP	South Asian	PGS004758	TRUE	2588	1.1187439608281	0.133060787836255	0.857827110074181	1.37966081158202	70.6905282166822	6.81694644331264e-17	0.0263475511219147	0.0160861051322095	0.0394834226867364	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	DBP	East Asian	PGS002362	FALSE	2588	0.250668927233887	0.134939099794207	-0.0139310765268009	0.515268930994575	3.45084448337765	0.0633334055026448	0.00131968954324121	1.1388132406636e-05	0.00583080818157571	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	DBP	Diverse ancestry	PGS003964	FALSE	2588	0.961248337352148	0.132866652427022	0.700712163734001	1.22178451097029	52.340662697323	6.12523505406517e-13	0.0196443410647541	0.0101445023725299	0.031227639656365	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	DBP	European	PGS004604	FALSE	1998	1.381529668768	0.158201843381364	1.0712709539148	1.69178838362121	76.2600968800812	5.1676320950898e-18	0.0360889142538402	0.0222696021649352	0.0536116368767862	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	DBP	South Asian	PGS004758	TRUE	1998	1.39672312843822	0.157236856334204	1.08835690506743	1.70508935180901	78.9063482381068	1.4232727960835e-18	0.037293427205854	0.022784283801892	0.0573894002146108	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	DBP	East Asian	PGS002362	FALSE	1998	0.203458754967914	0.155285666340358	-0.101080877719816	0.507998387655645	1.71668267890302	0.190271903805198	0.000842814089159785	2.52694428801182e-06	0.00528292496697357	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	DBP	Diverse ancestry	PGS003964	FALSE	1998	1.13701507575855	0.161843181923001	0.819615122901246	1.45441502861585	49.3564175340228	2.91983905895027e-12	0.0236654475615164	0.012737643954034	0.0384497743373618	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Bangladesh	PreSSMat-Matlab	South Asian	DBP	European	PGS004604	FALSE	3502	1.42729525050716	0.103176979481375	1.22500197008147	1.62958853093285	191.364785023943	2.06365332523168e-42	0.0498721369145163	0.036930534242988	0.0647920901171084	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Bangladesh	PreSSMat-Matlab	South Asian	DBP	South Asian	PGS004758	TRUE	3502	1.49537001292671	0.102836161750855	1.29374495458971	1.69699507126371	211.448991114484	1.48231393150916e-46	0.0548074929972854	0.0415397225038738	0.0688707475627943	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Bangladesh	PreSSMat-Matlab	South Asian	DBP	East Asian	PGS002362	FALSE	3502	0.172742904840917	0.10547717682975	-0.0340602427040521	0.379546052385886	2.68215234941809	0.101568586459097	0.000736743728603974	6.15573205746227e-06	0.00355029017464054	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Bangladesh	PreSSMat-Matlab	South Asian	DBP	Diverse ancestry	PGS003964	FALSE	3502	1.38635807806762	0.103536514154164	1.1833598783009	1.58935627783435	179.293174326858	6.56349408114673e-40	0.0468797596613112	0.0347821844132485	0.0603218914354722	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pemba	AMANHI-Pemba	African	DBP	European	PGS004604	TRUE	3620	0.578870968960751	0.102258471957545	0.378380826642968	0.779361111278535	32.0453442871037	1.62356044222225e-08	0.00870655254010388	0.00379926353308774	0.0160507529581707	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pemba	AMANHI-Pemba	African	DBP	South Asian	PGS004758	FALSE	3620	0.453878946785168	0.101971180890966	0.253952073463317	0.653805820107019	19.8118567601424	8.80331371874774e-06	0.00540091940063877	0.0016327539570733	0.0116593007238494	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pemba	AMANHI-Pemba	African	DBP	East Asian	PGS002362	FALSE	3620	0.0846137763730812	0.101766974386858	-0.114912725319045	0.284140278065207	0.691302983394391	0.405776531603068	0.000189454403053489	4.96687019045562e-07	0.00216531170494453	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pemba	AMANHI-Pemba	African	DBP	Diverse ancestry	PGS003964	FALSE	3620	0.476347294617592	0.102071412287839	0.276223905480091	0.676470683755094	21.7790613545213	3.17030928579884e-06	0.00593398398310581	0.00183219735868632	0.0123107236619034	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Zambia	ZAPPS-Lusaka	African	DBP	European	PGS004604	TRUE	1380	1.0958320459288	0.182971992754821	0.736896423084263	1.45476766877334	35.8689577157377	2.69239454202683e-09	0.0245700344042554	0.0108695301051228	0.0428356748887461	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Zambia	ZAPPS-Lusaka	African	DBP	South Asian	PGS004758	FALSE	1380	1.02927653062242	0.182787800429458	0.67070223732363	1.3878508239212	31.708064047014	2.17098696562011e-08	0.0217843198038774	0.00975558852630635	0.0380264488483026	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Zambia	ZAPPS-Lusaka	African	DBP	East Asian	PGS002362	FALSE	1380	-0.00632296566498673	0.183920785249874	-0.367119831971077	0.354473900641103	0.0011818980661594	0.97258014098815	8.30789366676465e-07	1.394716975469e-06	0.00361124525752867	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Zambia	ZAPPS-Lusaka	African	DBP	Diverse ancestry	PGS003964	FALSE	1380	0.845941148678238	0.183680745001177	0.485615168625704	1.20626712873077	21.2106040520866	4.49696717230587e-06	0.0146822294461312	0.00492352806781573	0.0288787413177926	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
